--------- beginning of main
03-12 21:17:22.123  2007  4932 I sensors-hal: qsh_conn_event_cb:857, SCHED_FIFO(10) for qmi_cbk
03-12 21:17:22.127  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.127  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.127  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.127  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.127  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.127  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.136  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.136  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.136  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.136  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.136  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.136  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
03-12 21:17:22.141  2007  2007 I sensors-hal: activate:300, android.sensor.game_rotation_vector/151 en=0
03-12 21:17:22.142  2007  2007 I sensors-hal: send_sync_sensor_request:508, send sync request
03-12 21:17:22.142  2007  2007 I sensors-hal: send_sync_sensor_request:518, send_sync_sensor_request before send_request for game_rv with SUID low=9921513099128050929 high=10978744344367743962
03-12 21:17:22.142  2007  2007 I sensors-hal: send_sync_sensor_request:537, wait for notification of response
03-12 21:17:22.142  2007  4932 I sensors-hal: qsh_conn_resp_cb:930, resp_value = 0 for game_rv 
03-12 21:17:22.142  2007  2007 I sensors-hal: send_sync_sensor_request:543, takes 0 ms to receive the response with 0
03-12 21:17:22.143  2007  2007 I sensors-hal: ~worker:65, worker(0xb400007a0f4d8950) send sig to tid= 4930
03-12 21:17:22.143  1985  2158 I minksocket: MinkIPC MESSAGE: ( 1985:2158 ) MinkIPC_QRTR_Service:351 minkipc = 0xb400006d4d3f6550 sock = 13, client with node 1 port 6176 went down
03-12 21:17:22.143  1985  2180 I minksocket: MinkIPC MESSAGE: ( 1985:2180 ) MinkIPC_QRTR_Service:351 minkipc = 0xb400006d4d3f7730 sock = 33, client with node 1 port 6176 went down
03-12 21:17:22.143  2007  2007 I sensors-hal: ~worker:74, worker(0xb400007a0f4d8950) is destroyed, remaining task = 0, tid= 4930
03-12 21:17:22.143  2007  2007 I sensors-hal: ~qsh_qmi:58, ~qsh_qmi
03-12 21:17:22.143  2007  2007 I sensors-hal: activate:330, android.sensor.game_rotation_vector/151 en=0 completed
03-12 21:17:22.144  2931  3228 D SensorManager: unregisterListener
03-12 21:17:22.145  3252  3649 E chromium: [ERROR:cc/tiles/tile_manager.cc:998] WARNING: tile memory limits exceeded, some content may not draw
